"STT","Tỉnh Thành","Quận Huyện"
"1","Hà Nội","Quận Ba Đình"
"2","Hà Nội","Quận Bắc Từ Liêm"
"3","Hà Nội","Quận Cầu Giấy"
"4","Hà Nội","Quận Đống Đa"
"5","Hà Nội","Quận Hà Đông"
"6","Hà Nội","Quận Hai Bà Trưng"
"7","Hà Nội","Quận Hoàn Kiếm"
"8","Hà Nội","Quận Hoàng Mai"
"9","Hà Nội","Quận Long Biên"
"10","Hà Nội","Quận Nam Từ Liêm"
"11","Hà Nội","Quận Tây Hồ"
"12","Hà Nội","Quận Thanh Xuân"
"13","Hà Nội","Thị xã Sơn Tây"
"14","Hà Nội","Huyện Ba Vì"
"15","Hà Nội","Huyện Chương Mỹ"
"16","Hà Nội","Huyện Đan Phượng"
"17","Hà Nội","Huyện Đông Anh"
"18","Hà Nội","Huyện Gia Lâm"
"19","Hà Nội","Huyện Hoài Đức"
"20","Hà Nội","Huyện Mê Linh"
"21","Hà Nội","Huyện Mỹ Đức"
"22","Hà Nội","Huyện Phú Xuyên"
"23","Hà Nội","Huyện Phúc Thọ"
"24","Hà Nội","Huyện Quốc Oai"
"25","Hà Nội","Huyện Sóc Sơn"
"26","Hà Nội","Huyện Thạch Thất"
"27","Hà Nội","Huyện Thanh Oai"
"28","Hà Nội","Huyện Thanh Trì"
"29","Hà Nội","Huyện Thường Tín"
"30","Hà Nội","Huyện Ứng Hòa"
"31","Hồ Chí Minh","Thành phố Thủ Đức"
"32","Hồ Chí Minh","Quận 1"
"33","Hồ Chí Minh","Quận 3"
"34","Hồ Chí Minh","Quận 4"
"35","Hồ Chí Minh","Quận 5"
"36","Hồ Chí Minh","Quận 6"
"37","Hồ Chí Minh","Quận 7"
"38","Hồ Chí Minh","Quận 8"
"39","Hồ Chí Minh","Quận 10"
"40","Hồ Chí Minh","Quận 11"
"41","Hồ Chí Minh","Quận 12"
"42","Hồ Chí Minh","Quận Bình Tân"
"43","Hồ Chí Minh","Quận Bình Thạnh"
