ID,Tiếng Việt,Tiếng BaNa
1,"Chỉ thị về việc tổ chức triển khai công tác tiêm phòng vaccine cho gia súc, gia cầm năm 2016 và tăng cường các giải pháp phòng, chống dịch, bệnh động vật",Chi thi lôêm tôdrong pôloêk pônhroh tôdrong tieâm phong vaccine aên xem rong sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu oeêng kjung rim tôdrong phong dôêt jiêt jiê xem rong
2,"Hiện nay, tình hình dịch bệnh gia súc, gia cầm; đặc biệt là dịch cúm gia cầm, lở mồm long móng (LMLM) gia súc, heo tai xanh vẫn đang xảy ra tại một số tỉnh lân cận và diễn biến phức tạp. ","Ahreêi, tôdrong jiêt jiê xem rong; pôgloh la jiêt kuêm ‘yeêr, ôda, gloh ‘bôêl gloh kônieâÊh lômo, kapoâ, ‘nhuêng ñon kseê araê atung ôêi leêch lôêm minh ksoâÊ tinh oei jeâÊ oeng ôêi tôdrong phöêk tap"
3,"Thêm vào đó, điều kiện thời tiết nóng, lạnh diễn biến bất thường, làm giảm sức đề kháng của đàn gia súc, gia cầm, là điều kiện thuận lợi phát sinh dịch bệnh, nguy cơ phát dịch ra diện rộng là rất cao","Pieâu ‘noh, tôdrong pleênh toê phang, tônghieât pô kueê, pôm tôjul tôdrong ñeâ khang ñôêng tôpul xem rong la tôdrong alöng phat sinh jiêt jiê, ôêi tôdrong apoh jiêt leêch tôdrong saê la pôgloh deâh"
4,"Nhất là những ổ dịch cũ, vùng tiêm phòng đạt tỷ lệ thấp và địa phương thiếu chủ động trong công tác phòng, chống dịch","Pôgloh la rim tôpu jiêt ñunh, apung tieâm phong ñat ty leâ ‘biêa oeêng cham pôlei biê chu ñoâng lôêm tôdrong phong, dôêt jiêt"
5,"Mặt khác, kết quả giám sát lưu hành vi rút cúm gia cầm ở tỉnh ta vẫn ở mức cao.","Tôdrong nai, thu ‘yoêk ngoê hnheêi löu hanh virut kuêm ‘yeêr, ôda oei tinh bôên araê oei möêk deâh"
6,"Mầm bệnh LMLM gia súc, heo tai xanh, dịch tả heo vẫn còn tiềm ẩn và dịch có thể xảy ra bất cứ lúc nào.","Maâm jiê gloh ‘bôêl gloh kônieâÊh lômo, kapoâ, ‘nhuêng ñon kseê, jiêt ta ‘nhuêng araê tieâm aân oeêng jiêt ôêi tôdrong ôêi leêch biê aleâÊ hla nhö"
7,"Nhằm tăng cường thực hiện đồng bộ các biện pháp phòng chống dịch, tổ chức tốt tiêm phòng vaccine cúm gia cầm, LMLM gia súc, Dịch tả heo và các bệnh truyền nhiễm khác trên địa bàn tỉnh","Söê kjung pôm adriêng rim tôdrong phong dôêt jiêt, pôloêk hôgeêi tieâm phong vaccine kuêm ‘yeêr, ôda, gloh ‘bôêl gloh kônieâÊh lômo, kapoâ, jiêt ta ‘nhuêng oeng rim jiê trueân nhieâm nai lôêm tôring tinh"
8,"Chủ tịch UBND tỉnh yêu cầu Thủ trưởng các sở, ngành, tổ chức hội đoàn thể; Chủ tịch UBND các huyện, thị xã, thành phố nghiêm túc tổ chức triển khai một số nhiệm vụ sau:","Chu tich UBND tinh pôkaê pôgôl rim sô, nganh, toâ chöêk hoâi ñoan theâ; Chu tich UBND rim hueân, thi xa, thanh phoâÊ tôpaê pôloêk pônhroh minh ksoâÊ tôdrong pôm ñôêng roêng ôêu:"
9,"Sở Nông Nghiệp và PTNT, Sở Y tế theo chức năng nhiệm vụ được giao, chủ động phối hợp Đài Phát thanh và truyền hình Bình Định, Báo Bình Định, các tổ chức hội, đoàn thể tăng cường công tác thông tin tuyên truyền về sự nguy hiểm của bệnh Dại, Cúm gia cầm, LMLM gia súc và heo tai xanh.","Sô Noâng nghieâp oeêng pôjing cham pôlei, Sô Y teâÊ ‘boi tôdrong ñei pôjao, chu ñoâng adriêng Ñai Phat thanh oeêng trueân hinh ‘Binh Ñinh, ‘Baêo ‘Binh Ñinh, rim toâ chöêk hoâi, ñoan theâ kjung tôdrong pôtho khan lôêm tôdrong glaêi ñôêng jiê kanh, kuêm ‘yeêr, ôda, gloh ‘bôêl, gloh kônieâÊh kapoâ, lômo oeêng nhuêng ñon kseê"
10,"Vận động người chăn nuôi phát hiện và báo cáo kịp thời cho cơ quan thú y, chính quyền cơ sở về dịch bệnh;","Krao akoêm bôngai kiêa rong ‘boh oeêng pôtho khan tôtam aên kô kuan thuê y, khul pôgôl kô sô lôêm jiêt jiê"
11,"Chấp hành kế hoạch, thời gian tiêm phòng vaccine và chủ động thực hiện phòng, chống dịch bệnh cho gia súc, gia cầm.","Pôm trô troê glong pônhroh, jônang tieâm phong vaccine oeêng chu ñoâng pôm phong, dôêt jiêt jiê aên xem rong"
12,"Tuyệt đối không ăn tiết canh, không ăn thịt gia súc, gia cầm không rõ nguồn gốc, bị bệnh, chết và không qua kiểm soát thú y.","Pôgloh biê sa tieâÊt kanh, biê sa aseêch xem rong biê ro tôêm, ‘bi jiê, luoâÊch oeêng biê kua ngoê hnheêi thuê y"
13,"Sở Nông nghiệp và PTNT: Chịu trách nhiệm trước Chủ tịch UBND tỉnh về việc cung ứng đầy đủ, kịp thời các loại vaccine, dụng cụ tiêm phòng và hướng dẫn quy trình kỹ thuật tiêm phòng, chữa trị gia súc, gia cầm phản ứng vaccine cho các địa phương. ","Sô Noâng nghieâp oeêng pôjing cham pôlei: Chiu trach nhieâm adrol Chu tich UBND tinh lôêm tôdrong tôguêm duh, tôtam rim loai vaccine, ñoâ tieâm phong oeêng pôtho khan kô kach tieâm phong, chöa tri xem rong phan öêng vaccine aên rim cham pôlei"
14,"Tiếp tục duy trì hoạt động của các Tổ cơ động chống dịch của ngành, đảm bảo sẵn sàng ứng phó kịp thời khi dịch xảy ra.","Ling lang pôgeêi pieâu tôdrong pôm ñôêng rim Toâ kô ñoâng dôêt jiêt ñôêng nganh, tômaên tôl goâ ñeêch öêng phoê tôtam jônang jiêt ôêi leêch"
15,"Xác định nhu cầu các loại vaccine phục vụ tiêm phòng năm 2016; tổ chức tiếp nhận vaccine do Trung ương hỗ trợ và mua thêm các loại vaccine phục vụ tiêm phòng, đảm bảo đủ vaccine tiêm phòng theo kế hoạch.","Pôtho khan tôdrong waê rim loai vaccine tôguêm tieâm phong sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt drôêu; pôloêk tieâÊp ‘yoêk vaccine yua Trung öông tôguêm oeêng ruoât pieâu rim loai vaccine tôguêm tieâm phong, tômaên tôl duh vaccine tieâm phong ‘boi glong pônhroh"
16,"Tham mưu UBND tỉnh tiếp tục chỉ đạo triển khai thực hiện Chính sách khuyến khích đầu tư xây dựng cơ sở giết mổ gia súc, gia cầm tập trung trên địa bàn tỉnh Bình Định, giai đoạn 2015 - 2020 theo Quyết định số 33/2014/QĐ-UBND ngày 22/12/2014 của UBND tỉnh Bình Định.","Pôñam ‘bôl ñon UBND tinh ling lang pôgôl pônhroh pôm tôdrong khueâÊn khiêch tôguêm tôjung pôm dônoê ‘beêt pah xem rong pônhoâm lôêm tôring tinh ‘Binh Ñinh, jônang ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm – ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ‘boi KueâÊt ñinh ksoâÊ peâng jiêt peâng sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân/QÑ-UBND ‘naêr ‘baêl jiêt ‘baêl kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng UBND tinh ‘Binh Ñinh"
