ID,Tiếng Việt,Tiếng BaNa
0001,"Thực hiện chính sách hỗ trợ phụ nữ thuộc hộ nghèo là người dân tộc thiểu số, sinh con đúng chính sách dân số theo Nghị định số 39 của Chính phủ.","Pôm tôdrong tôgum mai oh oei lôm kôbraê unh hnam dônuh la mai oh kon koâng, ñeh kon tro tôdrong daân soâ boi Nghi ñinh ksoâ 39 ñông Chinh phu."
0002,"Theo đó, từ năm 2015 đến 2018, huyện Vĩnh Thạnh đã lập thủ tục giải quyết cho 307 phụ nữ thuộc hộ nghèo đồng bào DTTS, được hưởng chính sách hỗ trợ với tổng số tiền 614 triệu đồng.","Boi noh, ñông sônaêm 2015 truh sônaêm 2018, huyeân Vinh Thanh jôh pôm thu tuc tôgum aên 307 mai oh oei lôm kôbraê unh hnam dônuh naê ma kon koâng ñei höông tôdrong tôgum adring pôting ksoâ jeân 614 trieâu ñoâng."
0003,Riêng trong năm 2018 có 71 người với số tiền hỗ trợ 142 triệu đồng. Định mức hỗ trợ 2 triệu đồng/người.,Riêng trong năm 2018 có 71 người với số tiền hỗ trợ 142 triệu đồng. Định mức hỗ trợ 2 triệu đồng/người.
0004,"Nghị định 39 của Chính phủ ban hành, thể hiện sự quan tâm của Đảng, Nhà nước đối với phụ nữ thuộc hộ nghèo là người dân tộc thiểu số, khi sinh con đúng chính sách dân số.","Nghị định 39 của Chính phủ ban hành, thể hiện sự quan tâm của Đảng, Nhà nước đối với phụ nữ thuộc hộ nghèo là người dân tộc thiểu số, khi sinh con đúng chính sách dân số."
0005,"Đây là chính sách cần thiết nhằm ổn định tình hình dân số, kế hoạch hóa gia đình và bảo vệ quyền lợi cho phụ nữ tại vùng đồng bào dân tộc thiểu số.","Anu la tôdrong kô waê sö alöng tôdrong daân soâ, keâ hoach hoa unh hnam oeng jö vei quyeân lôi aên mai o lôm apung naê ma kon koâng."
0006,"Sáng ngày 9.10, Huyện ủy Vĩnh Thạnh tổ chức Hội nghị BCH đảng bộ huyện lần thứ 18 nhằm đánh giá tình hình thực hiện nhiệm vụ 9 tháng đầu năm và triển khai nhiệm vụ 3 tháng còn lại năm 2019","Bôgheâ naêr 09/10, Huyeân uy Vinh Thanh pôlok Hoâi nghi Ban chaâp hanh Ñang boâ huyeân maêng maê 18 sö pôtho khan tôdrong pôm nhieâm vu 9 khei kôl sônaêm oeng pônhroh tôdrong pôm 3 khei araê sônaêm 2019"
0007,"Trong 9 tháng đầu năm, tổng giá trị sản xuất tăng 14 % so với cùng kỳ, giá trị sản xuất nông, lâm, thủy sản ước đạt 74,5% kế hoạch, tăng 22% so với cùng kỳ","Lôm 9 khei kôl sônaêm, pôting giaê tri choh jang kjung 14% pôting adring kung ky, giaê tri choh jang noâng, laâm, thuy san öôk ñat 74,5% glong pônhroh, kjung 22% pôting adring kung ky"
0008,Các lĩnh vực văn hoá - xã hội có nhiều chuyển biến tích cực,Rim tôdrong vaên hoa – xa hoâi ôi lö tôplih pôjaêng
0009,An ninh chính trị và trật tự an toàn xã hội được đảm bảo,An ninh chinh tri oeng traât tö an toan xa hoâi ñei tômaên tôl
0010,"Công tác xây dựng Đảng và củng cố hệ thống chính trị từ huyện đến cơ sở, đạt được nhiều kết quả khả quan",Tôdrong tôjung pôm Ñang oeng cung coâ tôdrong chinh tri ñông huyeân truh cô sô ñat ñei lö thu yok
0011,"Năng lực lãnh đạo của Đảng, hiệu lực, hiệu quả hoạt động quản lý, điều hành của cấp ủy, chính quyền từng bước được nâng lên","Tôdrong pôgôl ñông Ñang, thu yok tôdrong ngo hnhei, pôgôl ñông kôp uy, khul pôgôl rim tôdrong ñei poâk xuoân"
0012,"Tại hội nghị, các đại biểu đã dành thời gian phân tích và chỉ rõ những hạn chế yếu kém cần khắc phục trong thời gian tới, để thực hiện hoàn thành chỉ tiêu nhiệm vụ đề ra trong 3 tháng cuối năm 2019","Dôno hoâi nghi, rim naê ma pôgôl jôh sö jônang pôñam bôl oeng chi maê ro rim tôdrong han cheâ waê kaêc phuk lôm jônang truh sö pôm keh kong rim tôdrong aên lech lôm 03 khei atuch sônaêm 2019"
0013,"Theo đó, BCH Đảng bộ huyện tiếp tục phát huy nội lực, quan tâm chỉ đạo phát triển kinh tế, đầu tư phát triển sản xuất, xây dựng cơ bản, đảm bảo an sinh xã hội, đảm bảo ổn định chính trị, phòng chống có hiệu quả các loại tội phạm và tệ nạn xã hội","Boi noh, khul chaâp hanh Ñang boâ huyeân ling lang pôjing noâi lök, ngo hnhei pôgôl pôjing kinh teâ, tôgum pôjing choh jang, tôjung pôm kô ban, tômaên tôl an sinh xa hoâi, tômaên tôl alöng chinh tri, phong dôt ôi thu yok rim loai bôngai pôm glaêi oeng teâ nan xa hoâi"
0014,"Chú trọng công tác phát triển đảng viên, tiếp tục thực hiện Nghị quyết số 18 của BCH TƯ Đảng Khóa XII về sắp xếp bộ máy tinh gọn, hoạt động hiệu quả, đẩy mạnh củng cố xây dựng tổ chức cơ sở Đảng trong sạch vững mạnh, nâng cao năng lực lãnh đạo và sức chiến đấu của tổ chức cơ sở Đảng","Ngo hnhei tôdrong pôjing ñang vieân, ling lang pôm Nghi quyeât ksoâ 18 ñông Khul chaâp hanh TÖ Ñang khoa XIII lôm sap xeâp boâ may alöng, pôm ôi thu yok, jôraê deâh cung coâ tôjung pôm toâ chöc cô sô Ñang uoâl ieâl kôjaêp, poâk xuoân tôdrong pôgôl oeng jaêng tôplah ñông toâ chöc cô sô Ñang"
