ID,Tiếng Việt,Tiếng BaNa
0001,"Thông qua các dự án thuộc chương trình “Hỗ trợ ứng dụng và chuyển giao tiến bộ Khoa học và công nghệ phục vụ phát triển kinh tế - xã hội nông thôn và miền núi, vùng dân tộc thiểu số, huyện Vĩnh Thạnh đã đưa tiến bộ khoa học, kỹ thuật vào sản xuất, giúp người dân khu vực miền núi, vùng dân tộc thiểu số có nhận thức mới về KH&CN","Thoi qua rim dö an oei lôm kôbraê chöông trinh “Tôgum öng dung oeng pôtruh khoa hok oeng koâng ngheâ tôgum pôjing kinh teâ xa hoâi cham pôlei oeng apung koâng, apung naê ma kon koâng” huyeân Vinh Thanh jôh aên tieân boâ KHKT tômöt choph jang, tôgum naê ma apung koâng, apung naê ma kon koâng ôi tôdrong baêt anao lôm khoa hok oeng koâng ngheâ"
0002,Mới đây nhất là dự án phát triển rau an toàn trên đất Vĩnh Sơn với sự tham gia của các hộ đồng bào dân tộc thiểu số,Anao ôu pôgloh la dö an pôjing hla nhem an toan lôm teh Vinh Sôn adring tôdrong adring pôm ñông rim unh hnam naê ma kon koâng
0003,Sản phẩm của các hộ dân làm ra đảm bảo tiêu chuẩn rau an toàn và được tiêu thụ mạnh trên thị trường trong và ngoài huyện,San phaâm ñông rim unh hnam pôm lech tômaên tôl tôdrong hla nhem an toan oeng ñei tieâu thu deâh lôm thi tröông lôm oeng ôgah huyeân
0004,"Hay sự thành công của các mô hình chăn nuôi heo, gà trên đệm lót sinh học do Trạm Khuyến nông huyện và Hội Nông dân huyện đầu tư xây dựng đã thu hút sự tham gia của nhiều người dân miền núi và vùng lân cận","Thoi tôdrong keh kong ñông rim moâ hinh kia rong nhung, yer lôm ñeâm lot sinh hok yua Tram khuyeân noâng huyeân oeng Hoâi noâng daân huyeân tôgum tôjung pôm jôh pônhoâm tôdrong adring pôm ñông lö naê ma apung koâng oeng apung oei jeâ"
0005,"Các mô hình ứng dụng khoa học công nghệ đã và đang góp phần chuyển đổi cơ cấu kinh tế nông nghiệp phù hợp với điều kiện các địa phương miền núi, vùng sâu, vùng xa trên địa bàn huyện","Rim moâ hinh öng dung KHCN jôh oeng atung pôgop tôdrong tôplih cô caâu kinh teâ noâng nghieâp trô tro adring ñieâu kieân rim cham pôlei apung koâng, apung hlo lôm tôring huyeân"
0006,"Phần lớn các dự án ứng dụng khoa học và công nghệ đã giúp cho người dân miền núi, vùng dân tộc thiểu số tiếp cận với những thành tựu mới về khoa học kỹ thuật","Trong groâng rim dö an öng dung KHCN jôh tôgum aên naê ma apung koâng, apung naê ma kon koâng oei jeâ adring rim tôdrong anao lôm KHKT"
0007,"Bên cạnh đó, thông qua các mô hình trồng trọt, chăn nuôi đã đào tạo kỹ thuật trực tiếp cho các cán bộ địa phương, nâng cao trình độ kỹ thuật cho cán bộ địa phương và người dân về sản xuất nông nghiệp, nắm vững quy trình công nghệ về các kỹ thuật chăn nuôi, trồng trọt tiên tiến","Minh kôpah noh, thoi qua rim moâ hinh pôtaêm long, kia rong jôh pôtôp ky thuaât tröc tieâp aên kang boâ cham pôlei, poâk xuoân trinh ñoâ ky thuaât aên kang boâ cham pôlei oeng naê ma lôm choh jang noâng nghieâp, roâp kôjaêp quy trinh coâng ngheâ lôm rim kô kach kia rong, pôtaêm long pôgloh"
0008,"Đặc biệt là công tác chuyển giao tiến bộ khoa học kỹ thuật cho người dân đã được UBND huyện quan tâm thông qua việc đàu tư xây dựng mô hình, tập huấn chuyển giao tiến bộ khoa học kỹ thuật","Pôgloh la tôdrong pôtruh KHKT aên naê ma jôh ñei UBND huyeân ngo hnhei thoi qua tôdrong tôgum tôjung pôm moâ hinh, pôtho khan pôtruh KHKT"
0009,"Theo UBND xã Vĩnh Thịnh, thực hiện Kế hoạch sản xuất vụ Hè Thu năm 2020, trong đó vụ Hè 84 ha; vụ Thu 193,5ha. Đối với cây lúa vụ Hè, đến nay bà con nông dân xã Vĩnh Thịnh đã xuống giống đạt 100% so kế hoạch","Boi UBND xa Vinh Thinh, pôm gglong pônhroh choh jang vu He thu sônaêm 2020, lôm noh vu He 84 ha; vu Thu 193,5 ha. Adring long ba vu He, truh ahrei naê ma xa Vinh Thinh jôh jul adreâch ñat 100% pôting adring glong pônhroh"
0010,"Đối với cây lúa vụ Thu, cũng đang được bà con triển khai làm đất để đưa vào sản xuất",Adring long ba vu Thu kung ñei naê ma pônhoh pôm teh sö aên tômöt choh jang
0011,"Theo lịch thời vụ, cây lúa vụ Thu sẽ gieo sạ tập trung từ ngày 1 đến ngày 10.5","Boi lich thôi vu, long ba vu Thu ñei jul adreâch pônhoâm ñông naêr 01 truh naêr 10.5"
0012,"Tuy nhiên đối với những vùng có nguy cơ thiếu nước, địa phương có thể chỉ đạo gieo sạ sớm hơn từ 5 đến 10 ngày","Maêlei adring rim apung ôi tôdrong bi duh ñak, cham pôlei ôi tôdrong pôgôl jul adreâch sôruoâih loi ñông 5 truh 10 naêr"
0013,"Ngoài cây lúa, xã Vĩnh Thịnh còn có kế hoạch đưa vào sản xuất 69 ha cây trồng cạn khác trong đó gồm: 7 ha cây lạc, 17 ha cây ngô, 30 ha cây đậu các loại","Minh kôpah long ba, xa Vinh Thinh araê ôi glong pônhroh aên tômöt choh jang 69 ha long pôtaêm nai, lôm noh ôi 07 ha long ñaâu phung, 17 ha long hôbo, 30 ha long ñaâu rim loai"
