Tiếng Việt,Tiếng BaNa
"Mới đây, Ban Chỉ huy phòng chống thiên tai và tìm kiếm cứu nạn hồ chứa nước Định Bình đã họp triển khai phương án ứng phó thiên tai công trình hồ chứa nước Định Bình năm 2019","Anao ôêu, khul pôgôl phong dôt thieân tai oeêng chaê köu nan kloêng hmoêng ñak Ñinh Binh jôh hop pônhroh tôdrong öêng phoê thieân tai koâng trinh kloêng hmoêng ñak Ñinh Binh sônaêm 2019"
"Dự và chỉ đạo buổi họp có ông Nguyễn Hữu Vui – Phó Giám đốc Sở nông nghiệp và PTNT, ông Lê Văn Đẩu – Chủ tịch UBND huyện","Dö oeêng pôgôl maêng hop ôêi ‘bok Nguyeân Höu Vui – Phoê giam ñoâc Sô noâng nghieâp oeêng pôjing cham pôlei, ‘Bok Leâ Vaên Ñaâu – Chu tich UBND huyeân"
"Theo đó, nhằm chủ động đối phó với diễn biến thời tiết phức tạp và nâng cao hiệu quả công tác phòng chống thiên tai, lũ lụt, bảo vệ tuyệt đối an toàn hồ thủy lợi Định Bình và các vùng hạ du trong năm 2019","‘Boi ‘noh, söê chu ñoâng öêng phoê adriêng pleênh glaêi oeêng poâk xuoân thu yoêk tôdrong phong dôt thieân tai, ñak tih, jö vei an toan kloêng hmoêng ñak Ñinh Binh oeêng rim apung ha du lôêm sônaêm 2019"
Trưởng ban Chỉ huy đã tiến hành phân công các thành viên và triển khai phương án ứng phó thiên tai công trình hồ chứa nước Định Bình,Tröông khul pôgôl jôh phaân koâng rim thanh vieân oeêng pônhroh tôdrong öêng phoê thieân tai koâng trinh kloêng hmoêng ñak Ñinh Binh
"Phương án đã mô phỏng việc vận hành điều tiết trong thời gian mưa lũ để đảm bảo an toàn công trình, diễn biến ngập lụt theo thời gian và không gian, vận hành hạ mực nước hồ để đón lũ","Phöông an jôh moâ phong tôdrong vaân hanh ñieâu tieât lôêm jônang ami but söê tômaên tôl an toan koâng trinh, vaân hanh aên tôjul mök ñak kloêng söê goâ ami but"
"Kết luận buổi họp, ông Nguyễn Hữu Vui – Phó Giám đốc Sở nông nghiệp và PTNT – Trưởng ban Ban Chỉ huy đã chỉ đạo Công ty TNHH khai thác công trình thủy lợi Bình Định tiến hành rà soát hệ thống vận hành hồ chứa, thực hiện quy chế trực ban, chế độ thông tin kịp thời đến với người dân để chủ động trong sơ tán dân","Pôñam ‘bôl atuêch maêng hop, ‘bok Nguyeân Höu Vui – Phoê giam ñoâc Sô noâng nghieâp oeêng pôjing cham pôlei – Tröông khul khul pôgôl jôh pôgôl Cty TNHH khai thac koâng trinh thuy lôi Ñinh Binh pôm ra soat tôdrong vaân hanh kloêng hmoêng, pôm tôdrong tröêk ‘ban, ôêi tôdrong pôtho khan tôtam truh naê ma kon tôring söê chu ñoâng sô tan"
"Bên cạnh việc chuẩn bị đầy đủ vật tư, phương tiện tại chỗ để thực hiện nhiệm vụ cứu hộ, các địa phương và Xí nghiệp Thủy lợi Định Bình cần chủ động bố trí nhân lực, thành lập lực lượng xung kích ứng cứu, xử lý, khắc phục hậu quả kịp thời khi có bão, lũ lớn xảy ra nhằm đảm bảo an toàn công trình đồng thời bảo đảm an toàn, tính mạng, tài sản của nhân dân trong vùng bị ảnh hưởng","Minh kôpah tôdrong goâ ñeêch duh ñoâ söê pôm tôdrong köêu hoâ, rim cham pôlei oeêng Xi nghieâp thuy lôi Ñinh Binh waê chu ñoâng ‘boâÊ tri bôngai, pôjing anao löêk löông xung kich öêng köu, xö lyê, khaêc phuêk tôtam jônang ôêi ami but groâng söê tômaên tôl an toan koâng trinh, thoi ‘noh tômaên tôl an toan ôkôêu, kua tômam ñôêng kon tôring lôêm apung ôêi anh höông"
"Thực hiện cắt giảm một phần đỉnh lũ cho hạ du, xây dựng các phương án xử lý trong trường hợp đặc biệt và phối hợp lực lượng quân đội sẵn sàng ứng phó khi có tình huống bất trắc xảy ra","Caêt tôjul minh phaân ñak aên ha du, tôjung pôm rim tôdrong xö lyê lôêm tôdrong pôgloh oeêng adriêng löêk löông quaân ñoâi goâ ñeêch öêng phoê jônang ôêi tôdrong bröê ôêi leêch"
"Trong tháng qua, Hạt Kiểm lâm Vĩnh Thạnh tiếp tục đẩy mạnh các hoạt động quản lý rừng, bảo vệ rừng và quản lý lâm sản","Lôêm kheêi anu, Hat kieâm laâm huyeân Vinh Thanh ling lang jôraê deâh rim tôdrong ngoê hnhei jö vei bri"
"Phối hợp cùng lực lượng các xã, thị trấn, Công ty TNHH LN Sông Kôn và BQL rừng phòng hộ tổ chức kiểm tra truy quét rừng, tập trung khu vực trọng điểm về phá rừng, khai thác gỗ; thường xuyên giám sát hoạt động sản xuất nương rẫy, ngăn ngừa tình trạng lấn rừng, rong rừng","Adriêng löêk löông rim xa, thi traân, Cty TNHH laâm nghieâp Kroâng Bung oeêng khul ngoê hnhei bri phong hoâ pôloêk ngoê hnhei truy kueêt bri, pônhoâm apung pôgloh lôêm phaê bri, koh cöa ‘long; dach naêm ngoê hnhei tôdrong choh jang mil, gôên tôdrong phaê bri"
