ID,Tiếng Việt,Tiếng BaNa
0001,"Sáng ngày 2.3, Ủy ban nhân dân huyện tổ chức họp giao ban công tác phòng, chống dịch COVID-19","Bôgheâ ‘naêr 02.3, UBND huyeân pôloêk hoêp giao ‘ban tôdrong phong dôt jiêt Covid – 19"
0002,Dự và chủ trì buổi họp có đ/c Chủ tịch UBND huyện Lê Văn Đẩu; đ/c Huỳnh Đức Bảo - Phó Chủ tịch UBND huyện,Dö oeêng pôgôl maêng hoêp ôêi ñ/c Chu tich UBND huyeân Leâ Vaên Ñaâu; ñ/c Huynh Ñöc Bao – Phoê chu tich UBND huyeân
0003,"Theo báo cáo của ngành chức năng, đến nay trên địa bàn huyện đã thành lập và phân công nhiệm vụ các thành viên Ban chỉ đạo; đã ban hành kế hoạch đáp ứng 4 cấp độ dịch bệnh; ngành chức năng đã thực hiện đầy đủ các biện pháp phòng tránh, việc kiểm soát nhiễm khuẩn, phân công cán bộ trực 24/24 phòng chống dịch bệnh viêm đường hô hấp cấp do chủng mới vi rút Corona gây ra; thực hiện phun hóa chất khử khuẩn Cloramin B tại tất cả các trường học, các khu chợ, các cơ quan, đơn vị trên địa bàn huyện và Trung tâm y tế để phòng chống bệnh COVID-19","‘Boi pôtho khan ñôêng nganh chöêk naêng, truh ahreêi lôêm tôring huyeân jôh pôjing anao oeêng pôjao tôdrong pôm aên rim thanh vieân khul pôgôl; jôh aên leêch glong pônhroh tôguêm 4 kôêp ñoâ jiêt jiê; nganh chöêk naêng jôh pôm duh rim tôdrong phong dôt, tôdrong kieâm soat nhieâm khuaân, phaân koâng kang ‘boâ tröêk 24/24 phong dôt jiêt jiê vieâm trong hoâ haâp kôêp yua chung anao vi rut Corona pôm leêch; jôh phun bôgang khö khuaân Cloramin B lôêm ñiê ñaêng rim tröông hoêk, lôêm rim chô, rim kô kuan, ñôn vi lôêm tôring huyeân oeêng TTYT söê phong dôt jiê Covid – 19"
0004,Tổ chức phun hóa chất Chloramin B khử trùng toàn bộ khu vực trường và lớp học trước khi học sinh vào học ngày 2/3/2020,Pôloêk phun bôgang Cloramin B khö trung ñiê ñaêng apung tröông oeêng lôêp hoêk adrol jônang hoêk sinh tômöt hoêk ‘naêr 02.3.2020
0005,"Trung tâm y tế huyện đã tổ chức tập huấn cho các ban, ngành, hội, đoàn thể và y tế trường học về các biện pháp khử khuẩn","TTYT huyeân jôh pôloêk pôtho khan aên rim ‘ban, nganh, hoâi ñoan theâ oeêng y teâ tröông hoêk lôêm rim tôdrong khö khuaân"
0006,"Tổ chức tuyên truyền phòng chống dịch bệnh viêm đường hô hấp cấp do chủng mới của virut Corona gây ra với nhiều hình thức như truyền thanh, tờ rơi","Pôloêk pôtho khan phong dôt jiêt jiê vieâm trong hoâ haâp kôêp yua chung anao vi rut Corona pôm leêch adriêng lö tôdrong in: truyeân thanh, tô rôi"
0007,"Bên cạnh những mặc tích cực nêu trên, trong phòng chống dịch cũng còn những khó khăn như hiện nay chưa có vắc xin phòng bệnh COVID-19; các biện pháp phòng bệnh chủ yếu là dựa vào vệ sinh môi trường, vệ sinh cá nhân... nên nguy cơ lây truyền dịch bệnh trong cộng đồng là rất lớn","Minh kôpah rim tôdrong pôjaêng khan ‘noh, lôêm phong dôt jiêt araê ôêi lö hrat tônap in ahreêi ñim ôêi vaccine phong jiêt Covid – 19; rim tôdrong phong jiê pôgloh la gôning tômöt veâ sinh moâi tröông, veâ sinh kôdih ôkôêu… kôna tôdrong apoh jiêt jiê lôêm naê ma la pôgloh groâng"
0008,"Đặc biệt, hiện nay 66 quốc gia và vùng lãnh thổ đã có bệnh nhân dương tính với covid-19","Pôgloh, ahreêi 66 quoâc gia oeêng apung lanh thoâ jôh ôêi bôngai döông tinh adring Covid – 19"
0009,"Nhằm chủ động trong công tác phòng chống dịch trên địa bàn huyện đ/c Lê Văn Đẩu, chủ tịch UBND huyện - Trưởng BCD yêu cầu các cơ quan, đơn vị và ngành chức năng tiếp tục tăng cường công tác tuyên truyền nhằm định hướng và giúp người dân biết cách phòng tránh dịch","Söê chu ñoâng lôêm tôdrong phong dôt jiêt jiê lôêm tôring huyeân, ñ/c Leâ Vaên Ñaâu – Chu tich UBND huyeân – Tröông khul pôgôl pôkaê rim kô kuan, ñôn vi oeêng nganh chöêk naêng ling lang kjung tôdrong pôtho khan söê ñinh höôêng oeêng tôguêm naê ma aleÊâ kô kach phong dôt jiêt"
0010,"Tổ chức tập huấn về công tác phòng chống dịch Corona cho tất cả thôn trưởng, y tế thôn bản trên địa bàn huyện","Pôloêk pôtho khan lôêm tôdrong phong dôt jiêt Corona aên ñiê ñaêng thoân tröông, y teâ thoân, pôlei lôêm tôring huyeân"
