Tiếng Việt,Tiếng BaNa
Quy trình kỹ thuật trồng và chăm sóc cây giảo cổ lam,Kuy trinh kô kach pôtaêm oeêng tôme rong ‘long jao koâ lam
Quy trình thực hiện,Kuy trinh pôm
Chọn giống để ươm trồng,Chaê adreâÊch söê öôm pôtaêm
"Chọn hom bánh tẻ ở những vườn cây gốc (đúng giống, đúng loài) có thời gian sinh trưởng từ 3 đến 5 tháng tuổi. ","Chaê  hom ‘beêng te oei rim vöôn ‘long tôm (troê adreâÊch, troê loai) ôêi jônang yaêl arih ñôêng peâng truh pôñaêm kheêi "
"Hom giống phải sạch sâu bệnh và có từ 3 đến 4 đốt (mắt), có 3 – 4 lá, dài khoảng 20 – 30cm.","Hom adreâÊch phai sach jôroâng jiê oeêng ôêi ñôêng peâng truh puoân apaêng, ôêi peâng truh puoân hla, ñuoâÊi khoang ‘baêl jiêt truh peâng jiêt centimet"
"Hom cắt không bị dập nát, sây sát. Vết cắt hai đầu hom giâm cách mắt 4 - 5 cm.","Hom kaêt ‘bi jaâp, kôlot. Dônoê kaêt ‘baêl pah kôl hom pôtaêm kach apaêng puoân truh pôñaêm centimet"
Chọn đất ươm trồng,Chaê teh öôm pôtaêm
Đất dùng để ươm trồng cây Giảo cổ lam phải đảm bảo các điều kiện sau,Teh söê öôm pôtaêm ‘long jao koâ lam phai tômaên tôl rim tôdrong ñôêng roêng ôêu
Chọn đất cát pha hoặc thịt nhẹ.,Chaê teh chuêah pha thoi aseêch ‘biêa
"Đất không bị ô nhiễm môi trường, không chứa các chất tồn dư độc hại, kim loại nặng hoặc gần nguồn nước thải khu công nghiệp, bệnh viện","Teh biê ‘bi oâ nhieâm moâi tröông, biê ôêi rim ñoâ araê ñoâk hai, kim loai deâh thoi jeâÊ nguoân ñak thai apung koâng nghiep, ‘beânh vieân"
"Đất phải sạch sâu bệnh, cở dại, tàn dư cây trồng cũ, tơi xốp, giữ ẩm và thoát nước tốt, chủ động tưới tiêu và bảo vệ cây giống.","Teh phai sach jôroâng jiê, nhaêt, biê araê ‘long pôtaêm ñunh, lômön, jö lôngôp oeêng thoat ñak hôgeêi, chu ñoâng chruh ñak oeêng jö vei ‘long adreâch"
Thời vụ ươm trồng giảo cổ lam cho tỷ lệ sống cao nhất là từ tháng 2 đến tháng 4 hàng năm. ,Jônang öôm pôtaêm jao koâ lam aên ty leâ yaêl arih deâh pôgloh la ñôêng kheêi ‘baêl truh kheêi puoân rim sônaêm
"Thời gian này thường có mưa xuân, độ ẩm cao, đảm bảo tỷ lệ hom sống, đồng thời giảm công tưới trên diện tích lớn. ","Jônang anu deêch ôêi ami xuaân, ñoâ lôngôp lö, tômaên tôl ty leâ hom yaêl arih, thoi ‘noh tôjul koâng chruh ñak lôêm chñeh teh groâng"
Nếu nhân giống đúng thời vụ có thể đạt tỷ lệ sống là 91% và thời gian ra rễ/mầm là 11 ngày.,Tôêng nhaân adreâÊch troê jônang ôêi tôdrong ñat ty leâ yaêl arih la tôxiênh jiêt minh phaân traêm oeêng jônang leêch rieâÊh/ boâp la minh jiêt minh ‘naêr
Kỹ thuật ươm trồng,Kô kach öôm pôtaêm
