ID,Tiếng Việt,Tiếng BaNa
0001,Kỹ thuật trồng vừng,Kô kah pôtaêm lôngôêu
0002,"Cây vừng là loại cây trồng không kén đất, có thời gian sinh trưởng ngắn (khoảng 75 ngày), lại chịu hạn tốt.","‘Long lôngôêu la loai ‘long pôtaêm biê cheâ teh, ôêi jônang yaêl arih kôñeh (khoang tôpôêh jiêt pôñaêm ‘naêr), chiêu toê hôgeêi"
0003,"Chi phí đầu tư để trồng vừng thấp, kỹ thuật canh tác khá dễ dàng, phù hợp với những vùng đất hiếm nước. ","Jeân tôguêm söê pôtaêm lôngôêu ‘biêa, kô kach pôm khaê hlaêu, trô troê adriêng rim apung teh ‘bieê ñak"
0004,"Năng suất vừng đạt khá cao, khoảng 40 - 50kg /sào (500m2), giá thành 40.000 - 45.000 đồng/kg.","Thu ‘yoêk lôngôêu ñat khaê lö, khoang puoân jiêt truh pôñaêm jiêt kiloâgam minh sao (pôñaêm hrieâng met vuoâng), giaê thanh puoân jiêt truh puoân jiêt pôñaêm ôbôêu minh kiloâgam"
0005,Thời vụ gieo trồng,Jônang jul adreâÊch
0006,"Ở vụ Hè Thu, nên trồng trên đất cao, thoát nước tốt, tránh úng khi gặp mưa nhiều. Gieo vào tháng 4-5 dương lịch, thu hoạch vào tháng 6-7 dương lịch.","Oei jan He Thu, waê pôtaêm lôêm teh ñuoâÊi, thoat ñak hôgeêi, hli töng ñak jônang tôjröêm ami lö. Jul adreâÊch tômöt kheêi puoân – kheêi pôñaêm yöông lich, thu ‘yoêk tômöt kheêi drôêu – kheêi tôpôêh yöông lich"
0007,"Chủ yếu làm ở vụ Hè Thu, gieo trên đất màu hoặc đất lúa sau khi đã thu hoạch xong lúa vụ Đông Xuân.","Pôgloh pôm oei jan He Thu, jul adreâÊch lôêm teh môêu thoi teh ‘ba ñôêng rong jôh thu ‘yoêk keh ‘ba Ñoâng Xuaân"
0008,"Vụ này hay gặp hạn khi gieo và gặp mưa to gây ngập úng cục bộ ở một số vùng vào thời kỳ thu hoạch, vì vậy gieo càng sớm càng tốt.","Jan anu deêch tôjröêm toê jônang jul adreâÊch oeêng tôjröêm ami groâng pôm hlôêp kuêk ‘boâ oei minh ksoâÊ apung tômöt jônang thu ‘yoêk, yua ‘noh jul adreâÊch kang sruoâÊih kang hôgeêi"
0009,Phân loại về màu sắc có hai loại,Phaân loai lôêm môu saêk ôêi ‘baêl loai
0010,"Vừng đen: Dễ trồng, mọc khỏe, sai quả, chín muộn hơn vừng trắng, thời gian sinh trưởng 3,0-3,5 tháng, thích hợp với đất và khí hậu đồi núi.","Lônga gaêm: Hlaêu pôtaêm, hon jaêng, lö pleêi, ñum ñunh loi lôngôêu, jônang yaêl arih ñôêng peâng truh peâng pheêi pôñaêm kheêi, trô troê adriêng teh oeêng pleênh groi koâng"
0011,"Vừng trắng: Loại quả tròn, sai quả, chín sớm, thời gian sinh trưởng 2,5-3 tháng, thích hợp với việc tăng vụ trồng xen.","Lôngôêu: Loai pleêi tron, lö pleêi, ñum sruoâÊih, jônang yaêl arih ñôêng ‘baêl pheêi pôñaêm truh peâng kheêi, trô troê adriêng tôdrong kjung jan pôtaêm xen"
0012,Giống vừng V6 là giống vừng mới của Nhật đang được các tỉnh phía Bắc phát triển mạnh. ,AdreâÊch lôngôêu V drôêu la adreâÊch lôngôêu anao ñôêng Nhaât atung ñei rim tinh ôgah ‘Baêk pôjing deâh
0013,Đây là giống có hàm lượng dầu cao thích hợp cho công nghiệp ép dầu. Lượng giống cần cho 1 ha: 4 - 5 kg (gieo theo hàng).,Anu la adreâÊch ôêi ham löông jôêu löê trô troê aên koâng nghieâp eêp jôêu. Löông adreâÊch waê aên minh hecta: puoân truh pôñaêm kiloâgam (jul adreâÊch ‘boi hang)
0014,"Làm đất: Đất trồng thích hợp trên các chân đất thịt nhẹ, đất cát pha và thoát nước tốt. Hạt vừng rất nhỏ nên phải làm đất thật kỹ, nếu không làm đất kỹ hạt sẽ bị vùi khó nảy mầm.","Pôm teh: The pôtaêm trô troê lôêm rim jöng teh aseêch ‘biêa, teh chuêah pha oeêng thoat ñak hôgeêi. Geêr lôngôêu pôgloh ken kôna phai pôm teh pôgloh ky, tôêng biê pôm teh ky geêr ‘bi ‘buê khoê hon"
0015,"Đất cày sâu 15-20 cm, bừa kỹ nhiều lượt. Làm đất thật nhỏ và sạch cỏ, sau đó tiến hành lên luống. Lên luống cao 15-20cm, luống rộng 1,5-2,5m, rãnh rộng 30-35cm để thoát nước tốt, mặt luống có hình lưng rùa.","The kaêi jôruê minh jiêt pôñaêm truh ‘baêl jiêt centimet, ‘böa ky lö maêng. Pôm teh pôgloh ken oeêng sach nhaêt, ñôêng rong ‘noh pôm luoâÊng. Pôm luoâÊng ñuoâÊi minh jiêt pôñaêm truh ‘baêl jiêt centimet, luoâÊng saê minh pheêi pôñaêm truh ‘baêl pheêi pôñaêm met, trong ñak saê peâng jiêt truh peâng jiêt pôñaêm centimet söê thoat ñak hôgeêi, maêt luoâÊng ôêi hinh kôduê coêp"
0016,"Những vùng đất cát pha, tơi xốp, thoát nước tốt thì gieo xong mới vét rãnh thoát nước, tạo thành từng luống rộng từ 2,5-3m.","Rim apung teh chuêah pha, lômön, thoat ñak hôgeêi thi jul adreâÊch  keh anao koêch trong thoat ñak, pôm thanh rim luoâÊng saê ñôêng ‘baêl pheêi pôñaêm truh peâng met"
0017,"Lượng phân bón cho 1 sào (500m2): Phân chuồng hoai mục 200-250 kg/sào hoặc 25 kg hữu cơ vi sinh, lân super 20- 25kg, Urea: 5kg, kali clorua 5kg, vôi: 20kg","Löông phôêng ‘boên aên minh sao (pôñaêm hrieâng met vuoâng): Phôêng chuoâng hoai puk ‘baêl hrieâng truh ‘baêl hrieâng pôñaêm jiêt kiloâgam minh sao thoi ‘baêl jiêt pôñaêm kiloâgam höu kô vi sinh, laân super ‘baêl jiêt truh ‘baêl jiêt pôñaêm kiloâgam, Urea: pôñaêm kiloâgam, kali clorua pôñaêm kiloâgam, sra: ‘baêl jiêt kiloâgam"
0018,"Cách bón: Vôi bột rắc đều khi cày bừa. Các loại phân chuồng, super lân và 1/2 lượng urea trộn đều và bón lót theo rãnh gieo, lấp một lớp đất mỏng trước khi gieo hạt giống. ","Kô kach ‘boên: Sra ‘boât ta hôdôêi jônang kaêi ‘böa. Rim loai phôêng chuoâng, super laân oeêng minh phaân ‘baêl löông urea jôdrôêu hôdôêi oeêng ‘boên lot ‘boi trong jul adreâch, ‘buê minh lôêp teh ateêng adrol jônang jul adreâÊch"
0019,"Sau khi gieo 20 ngày bón thúc với lượng phân còn lại (1/2 lượng Urea, 5 kg KCl) kết hợp xới vun gốc.","Ñôêng roêng jul adreâÊch ‘baêl jiêt ‘naêr ‘boên thuêk adriêng löông phôêng araê (minh phaân ‘baêl löông Urea, pôñaêm kiloâgam kali clorua) adriêng khul tôm"
0020,Xử lý hạt giống,Xö lyê geêr adreâÊch
0021,"Hạt trước khi gieo cần phải xử lý một trong các loại thuốc sau: Copper-Zinc, Copper-B, Rovral, Benlate,… (2 gram trộn đều cho 1kg hạt).","Geêr adrol jônang jul adreâÊch waê phai xö lyê minh lôêm rim loai bôgang ñôêng roêng ôêu: Copper-Zinc, Copper-B, Rovral, Benlate,… (‘baêl gram jôdrôêu hôdôêi aên minh kiloâgam geêr)"
0022,"Để đảm bảo cho vừng được gieo đều, hạt giống nên trộn với cát hoặc tro bếp theo tỷ lệ 1 hạt giống/2 cát hoặc tro. Tro có tác dụng kích thích hạt nảy mầm nhanh, kiến không tha được hạt.","Söê tômaên tôl aên lôngôêu ñei jul adreâÊch hôdôêi, geêr adreâÊch waê jôdrôêu adriêng chuêah thoi tônuh uênh ‘boi tôdrong minh geêr adreâÊch lôêm ‘baêl chuah thoi tônuêh uênh. Tônuh uênh ôêi tôdrong kiêch thiêch geêr hon ranh, hmuoâch biê cheêp ñeêi geêr"
0023,"Rắc hạt đã trộn tro hoặc cát đều vào rãnh sau khi đã bón lót phân. Khoảng cách hàng cách hàng 30cm. Nên gieo vào lúc đất đủ ẩm, hạt dễ nảy mầm, lấp hạt với một lớp đất mỏng 1 - 2 cm.","Ta geêr jôh jôdrôêu tônuh uênh thoi chuêah hôdôêi tômöt trong ñak ñôêng roêng jôh ‘boên lot phôêng. Khoang kach hang kach hang peâng jiêt centimet. Waê jul adreâÊch tômöt jônang teh duh lôngôp, geêr hlaêu hon, ‘buê greêi adriêng minh lôêp teh ateêng minh truh ‘baêl centimet"
0024,"Chăm sóc: Sau khi cây vừng mọc cao khoảng 10 - 15cm thì tỉa cây với khoảng cách 5 - 7cm, đảm bảo mật độ 50 - 70 cây/m2.","Tôme rong: Ñôêng roêng jônang ‘long lôngôêu hon ñuoâÊi khoang minh jiêt truh minh jiêt pôñaêm centimet thoi kaêt ‘long adriêng khoang kach ñôêng pôñaêm truh tôpôêh centimet, tômaên tôl maât ñoâ ñôêng pôñaêm jiêt truh tôpôêh jiêt ‘long lôêm minh met vuoâng"
0025,"Sau khi gieo 20 ngày thì bón thúc kết hợp với làm cỏ, xới xáo, vun gốc. Sau khi mưa to cần tiêu nước kịp thời, trời nắng thì tuần tưới khoảng 2 lần.","Ñôêng roêng jul adreâÊch ‘baêl jiêt ‘naêr thoi ‘boên thuêk adriêng pôm nhaêt, khul tôm. Ñôêng roêng ami groâng waê tieâu ñak tôtam, pleênh toê thoi minh tuoân chruh khoang ‘baêl maêng"
0026,Phòng trừ sâu bệnh,Phong dôêt jôroâng jiê
0027,"Sâu khoang: Sâu khoang là loài ăn tạp, sâu non có màu nâu đen, đốt bụng thứ nhất có một vết đen to bao quanh, Sâu ăn trụi lá, cắn đứt ngang cây.","Jôroâng khoang: Jôroâng khoang la loai sa tap, jôroâng ken ôêi môêu naâu gaêm, apaêng klak maêng maê minh ôêi minh veât gaêm groâng ‘bao taêp dal, jôroâng sa ñiê hla, kaêp kôteêch ngang long"
