Tiếng Việt,Tiếng BaNa
"Chỉ thị về công tác phòng, chống giảm nhẹ thiên tai và tìm kiếm cứu nạn năm 2020","Chi thi lôêm tôdrong phong, dôêt tôjul dal thieân tai oeêng chaê köêu nan sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
"Năm 2019, trên địa bàn tỉnh ta thiên tai diễn biến phức tạp, khó lường theo chiều hướng cực đoan.","Sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh, lôêm tôring tinh bôên thieân tai ôêi tôdrong phöêk tap, khoê baêt ‘boi tôdrong bröê"
"Nhất là diễn biến thiên tai vào cuối năm 2019 bão, mưa lũ đã làm thiệt hại về tài sản của nhân dân.","Pôgloh la tôdrong thieân tai tômöt atuêch sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh but, ami jôh pôm hiong hiôêt kua tômam ñôêng kon tôring"
"Để chủ động phòng tránh và ứng phó với thiên tai trong năm 2020, giảm thiệt hại do thiên tai gây ra góp phần thực hiện thắng lợi nhiệm vụ phát triển kinh tế - xã hội của tỉnh, Chủ tịch UBND tỉnh yêu cầu Thủ trưởng các sở, ban, ngành, Chủ tịch UBND các huyện, thị xã, thành phố thực hiện các nhiệm vụ như sau","Söê chu ñoâng phong dôêt oeêng öêng phoê adriêng thieân tai lôêm sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt, tôjul hiong hiôêt yua thieân tai pôm leêch pôgoêp tôdrong pôm pôtih nöih tôdrong pôjing kinh teâÊ – xa hoâi ñôêng tinh, Chu tich UBND tinh pôtho khan pôgôl rim sô, ‘ban, nganh, Chu tich UBND rim hueân, thi xa, thanh phoâÊ pôm rim tôdrong in ñôêng roêng ôêu"
"Tổ chức tổng kết, đánh giá, rút kinh nghiệm về công tác chỉ đạo phòng, chống thiên tai và tìm kiếm cứu nạn (PCTT và TKCN) năm 2019, trên cơ sở đó xây dựng nhiệm vụ năm 2020 sát với tình hình thực tế, đặc điểm của từng đơn vị, địa phương. Kiện toàn Ban Chỉ huy PCTT và TKCN các cấp, các sở ngành","Pôloêk toâng keâÊt, pôtho khan, ‘yoêk kinh nghieâm lôêm tôdrong pôgôl phong, dôêt thieân tai oeêng chaê köêu nan (phong, dôêt thieân tai oeêng chaê köêu nan) sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh, lôêm tôdrong ‘noh tôjung pôm tôdrong pôm sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt jeâÊ adriêng tôdrong thöêk teâÊ, tôdrong ñôêng rim ñôn viê, cham pôlei. Kieân toan Khul pôgôl phong dôêt thieân tai oeêng chaê köêu nan rim kôêp, rim sô nganh"
Phân công nhiệm vụ từng thành viên.,Pôjao tôdrong pôm aên rim naê ma
"Triển khai khắc phục hậu quả thiên tai năm 2019 về nhà ở, khôi phục sản xuất, cơ sở hạ tầng thiết yếu.","Pônhroh khaêk phuêk hiong hiôêt thieân lai sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh lôêm hnam oei, khoâi phuêk choh jang, kô sô ha taâng pôgloh"
Tổ chức tập huấn nâng cao năng lực cho cán bộ làm công tác PCTT và TKCN các cấp.,Pôloêk pôtho khan poâk xuoân tôdrong baêt aên kang ‘boâ pôm tôdrong phong dôêt thieân tai oeêng chaê köêu nan rim kôêp.
"Đẩy nhanh tiến độ nâng cấp tu bổ đê điều, hồ chứa nước, cầu đường, khu neo đậu tàu thuyền và các công trình khác trong kế hoạch năm 2020, bảo đảm hoàn thành vượt lũ trước ngày 31/8/2020.","Jôraê ranh tôdrong poâk xuoân tu ‘boâ ñeâ ñieâu, kloêng hmoêng ñak, koâng trong, dônoê söê tau thueân oei oeêng rim koâng trinh nai lôêm glong pônhroh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt, tômaên tôl keh kong blung adrol ñak tih ‘naêr peâng jiêt minh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
"Chủ tịch UBND các huyện, thị xã, thành phố có trách nhiệm huy động nguồn lực của địa phương, sử dụng hiệu quả các nguồn hỗ trợ của tỉnh, của Trung ương để khắc phục hậu quả thiên tai năm 2019, ổn định đời sống, sản xuất và triển khai công tác PCTT và TKCN năm 2020, cụ thể như sau","Chu tich UBND rim hueân, thi xa, thanh phoâÊ ôêi tôdrong krao nguoân löêk ñôêng cham pôlei, chaê yuoâ thu ‘yoêk rim nguoân tôguêm ñôêng tinh, ñôêng Trung öông söê khaêk phuêk hiong hiôêt thieân tai sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh, alöng tôdrong yaêl arih, choh jang oeêng pônhroh tôdrong phong dôêt thieân tai oeêng chaê köêu nan sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt, kuê theâ in ñôêng roêng ôêu"
