ID,Tiếng Việt,Tiếng BaNa
1,"Chỉ thị Về việc tổ chức thực hiện Nghị định số 55/2015/NĐ-CP ngày 09/6/2015 của Chính phủ về chính sách tín dụng phục vụ phát triển nông nghiệp, nông thôn trên địa bàn tỉnh Bình Định. ","Chi thi lôêm tôdrong pôloêk pôm Nghiê ñinh ksoâÊ pôñaêm jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP ‘naêr tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm ñôêng kôpal teh ñak lôêm tôdrong tiên juêng tôguêm pôjing noâng nghieâp, cham pôlei lôêm tôring tinh ‘Binh Ñinh"
2,"Ngày 09/6/2015, Chính phủ ban hành Nghị định số 55/2015/NĐ-CP về chính sách tín dụng phục vụ phát triển nông nghiệp, nông thôn thay thế Nghị định 41/2010/NĐ-CP ngày 12/4/2010.","‘Naêr tôxiênh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm, kôpal teh ñak aên leêch Nghiê ñinh ksoâÊ pôñaêm jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP lôêm tôdrong tiên juêng tôguêm pôjing noâng nghieâp, cham pôlei tôplih Nghiê ñinh puoân jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt/NÑ-CP ‘naêr minh jiêt ‘baêl kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt"
3,"Để triển khai thực hiện có hiệu quả Nghị định số 55/2015/NĐ-CP nhằm thúc đẩy chuyển dịch cơ cấu kinh tế trong nông nghiệp, nông thôn","Söê pônhroh pôm ôêi thu ‘yoêk Nghiê ñinh ksoâÊ pôñaêm jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP söê pôm kjung chueân jiêt kô kôêu kinh teâÊ lôêm noâng nghieâp, cham pôlei"
4,"Tăng cường đầu tư xây dựng cơ sở hạ tầng, xây dựng nông thôn mới và từng bước nâng cao đời sống của nhân dân trên địa bàn tỉnh, Chủ tịch UBND tỉnh yêu cầu Thủ trưởng các Sở, ban, ngành, tổ chức chính trị - xã hội, đoàn thể tỉnh","Kjung tôguêm tôjung pôm kô sô ha taâng, tôjung pôm cham pôlei anao oeêng rim tôdrong poâk xuoân tôdrong yaêl arih kon tôring lôêm tôring tinh, Chu tich UBND tinh pôtho khan pôgôl rim sô, ‘ban, nganh, toâ chöêk chinh tri xa hoâi, ñoan theâ tinh"
5,"Chủ tịch UBND các huyện, thị xã, thành phố thực hiện nghiêm túc một số nội dung sau","Chu tich UBND rim hueân, thi xa, thanh phoâÊ pôm tôpaê minh ksoâÊ tôdrong ñôêng roêng ôêu"
6,Ngân hàng Nhà nước Chi nhánh tỉnh Bình Định,Ngaân hang kôpal chi nhanh tinh ‘Binh Ñinh
7,"Chủ trì, phối hợp với các Sở, ban, ngành, đoàn thể tỉnh; UBND các huyện, thị xã, thành phố và các đơn vị liên quan triển khai thực hiện tốt Nghị định số 55/2015/NĐ-CP","Pôgôl, adriêng rim sô, ‘ban, nganh, ñoan theâ tinh; UBND rim hueân, thi xa, thanh phoâÊ oeêng rim ñôn viê lieân kuan pônhroh pôm hôgeêi Nghiê ñinh ksoâÊ pôñaêm jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP"
8,"Phối hợp với các cơ quan truyền thông tổ chức tuyên truyền sâu rộng các chính sách tín dụng phục vụ phát triển nông nghiệp nông thôn để các cấp, ngành, tổ chức cá nhân nắm bắt, hiểu rõ tạo sự đồng thuận cao.","Adriêng rim kô kuan trueân thoâng pôloêk pôtho khan jôruê saê rim tôdrong tiên juêng tôguêm pôjing noâng nghieâp, cham pôlei söê rim kôêp, nganh, toâ chöêk kôdih ôkôêu roâp baêt, baêt maê ro pôm tôdrong ñoâng thuaân deâh"
9,"Chỉ đạo, hướng dẫn các tổ chức tín dụng trên địa bàn đẩy mạnh triển khai chính sách tín dụng phục vụ phát triển nông nghiệp, nông thôn.","Pôgôl, pôtho khan rim toâ chöêk tiên juêng lôêm tôring jôraê deâh pônhroh tôdrong tiên juêng tôguêm pôjing noâng nghieâp, cham pôlei"
10,"Chủ trì, phối hợp với Sở Tài chính và các đơn vị liên quan tham mưu cho UBND tỉnh trình cấp có thẩm quyền xử lý các khoản nợ gốc và lãi của tổ chức, cá nhân bị thiệt hại do nguyên nhân khách quan, bất khả kháng được quy định tại Khoản 2 Điều 12, Khoản 3 Điều 14 và Khoản 3 Điều 15 của Nghị định số 55/2015/NĐ-CP.","Pôgôl, adriêng Sô Tai chiênh oeêng rim ñôn viê lieân kuan pôñam ‘bôl ñon aên UBND tinh trinh kôêp ôêi thaâm kueân xö lyê rim khoan sôre tôêm oeêng lai ñôêng toâ chöêk, kôdih ôkôêu ‘bi hiong hiôt yua tôdrong khach kuan, ‘baât kha khang ñei kuy ñinh lôêm Khoan ‘baêl Ñieâu minh jiêt ‘baêl, Khoan peâng Ñieâu minh jiêt puoân oeêng Khoan peâng Ñieâu minh jiêt pôñaêm ñôêng Nghiê ñinh ksoâÊ pôñaêm jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NÑ-CP"
