Tiếng Việt,Tiếng BaNa
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành kiểm tra công tác cho vay học sinh, sinh viên có hoàn cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
Căn cứ Luật tổ chức HĐND và UBND ngày 26/11/2003,Kăn kư̆ luâ̆t tô chưk HĐND xưm UBND năr 26/11/2003
"Căn cứ Công văn số 2054/UBND-VX ngày 11/6/2012 của UBND tỉnh về việc kiểm tra thực hiện chế độ chính sách tín dụng đối với học sinh, sinh viên","Kăn kư̆ kông văn sô̆ 2054/UBND-VX năr 11/6/2012 dĭ UBND tinh lơm drong kiêm tra pơm chê̆ đô̆ chĭnh sach tin yŭng adring hok sinh, sinh viên"
Theo đề nghị của Giám đốc Chi nhánh Ngân hàng Chính sách xã hội tỉnh tại Tờ trình số 133/TTr-SLĐTBXH ngày 04/3/2014,Tĭa đê nghĭ dĭ Yam đôk Chi nhanh Ngân hang chĭnh sach xa hô̆i tinh tơ Tơ trinh sô̆ 133/TTr-SLĐTBXH năr 04/3/2014
Đoàn 1,Tơ pul minh
"Trưởng đoàn: Bà Nguyễn Thị Thảo Vi, Trưởng phòng Kế hoạch - Nghiệp vụ Chi nhánh Ngân hàng Chính sách xã Hội tỉnh.","Kơ dră tơm tơ pul. Yă Nguyên Thĭ Thao Vi, Trương phong kê̆ hoach - Nghiê̆p vŭ Chi nhanh Ngân hang Chĭnh sach xa hô̆i tinh"
Các thành viên,khul thanh viên
"Ông Lê Hoàng Tiên, Chuyên viên Sở Lao động - Thương binh và xã hội - Phó Trưởng đoàn.","Bok Lê Hoang Tiên, Chuyên viên Sơ Lao Đô̆ng - Thương 'binh xưm xa hô̆i - Phŏ trương tơ pul"
"Bà Lê Thị Quyên, nhân viên Phòng Ngân sách Sở Tài chính.","Yă Lê Thĭ Kuyên, nhân viên Phong Ngân sach Sơ Tai chĭnh"
"Ông Trịnh Minh Vương, Trưởng ban Kinh tế - Xã Hội Hội Nông dân tỉnh.","Bok Trĭnh Minh Vương, kơ dră tơm 'ban kinh tê̆ - xa hô̆i hô̆i nông yân tinh"
"Bà Phùng Thị Ngọc Tuyết, Trưởng ban Kinh tế Hội LHPN tỉnh.","Yă Phung Thĭ Ngŏk Tuyê̆t, kơ dră tơm 'ban kinh tê̆ Hô̆i LHPN tinh."
Đoàn 2,Tơ pul 'bal
"Trưởng đoàn: Ông Trịnh Hoàng Nha, Chuyên viên Sở Giáo dục và Đào tạo. ","Kdă tơm tơ pul: 'Bok Trĭnh Hoang Nha, Chuyên viên Sơ Yăo yuk xưm Đao tăo."
"Bà Nguyễn Việt Thúy Nga, Cán bộ Phòng Kế hoạch - Nghiệp vụ Chi nhánh Ngân hàng Chính sách xã hội tỉnh - Phó Trưởng đoàn.","Yă Nguyên Viê̆t Thŭy Nga, Can 'bô̆  phong Kế hoạch - Nghiệp vụ Chi nhánh Ngân hàng Chính sách xã Hội tỉnh - Phŏ Trương tơ pul."
"Ông Mai Văn Minh, Trưởng ban Kinh tế Hội Cựu Chiến binh tỉnh.","Bok Mai Văn Minh, kơ dră tơm 'ban kinh tê̆ Hô̆i kư̆u Chiê̆n 'binh tinh."
"Ông Lương Đình Tiên, Trưởng ban Phong trào Đoàn TNCS Hồ Chí Minh.","Bok Lương Đinh Tiên, kơ dră tơm 'ban Phong trao Đoan TNCS Hô Chĭ Minh."
Điều 2. Đoàn kiểm tra có nhiệm vụ,Điêu mă 'bal. Tơ pul kiêm tra ơ̆i nhiê̆m vŭ
"Kiểm tra việc thực hiện công tác cho vay học sinh, sinh viên có hoàn cảnh khó khăn đối với Ngân hàng Chính sách xã hội cấp huyện","Kiêm tra drong pơm kông tak ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat adring Ngân hang chĭnh sach xa hô̆i kâp tơ ring"
"UBND cấp xã; các tổ chức hội; đoàn thể nhận ủy thác cho vay chương trình tín dụng học sinh, sinh viên cấp huyện, xã","UBND kâp xa; rim tô chưk hô̆i; đoan thê 'yok uy thak ăn xre chương trinh tĭn yŭng hok sinh, sinh viên kâp tơ ring, xa"
"Các tổ tiết kiệm và vay vốn, hộ vay và cơ sở đào tạo theo đề cương do Chi nhánh Ngân hàng Chính sách xã hội tỉnh xây dựng.","Rim tô a'măn xưm xre jên, unh hnam xre xưm kơ sơ đao tăo tĭa đê kương yua Chi nhănh ngân hang Chĭnh sach xa hô̆i tinh pơ jing."
Thời gian kiểm tra: từ ngày 07/4/2014 đến ngày 25/4/2014.,Thơi yan kiêm tra: đưng năr 07/4/2014 truh năr 25/4/2014
"Thời gian và đối tượng kiểm tra cụ thể do các Trưởng đoàn chọn và thông báo các đơn vị, hộ vay được kiểm tra.","Thơi yan xưm đô̆i tươ̆ng kiêm tra kŭ thê yua rim kơ dră tơm tơ pul rơih xưm thông 'băo khul đơn vĭ, unh hnam xre đĕi kiêm tra."
