Viet,Bahnar
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành kiểm tra công tác cho vay học sinh, sinh viên có hoàn cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành kiểm tra công tác biếu vay học sinh, sinh viên có hoàn cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành kiểm tra công tác biếu vay mượn học sinh, sinh viên có tình cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành thẩm tra công tác biếu vay mượn học sinh, sinh viên có tình cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành kiểm tra công tác biếu vay mượn học sinh, sinh viên có điều kiện khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn thẩm tra liên ngành thẩm tra công tác biếu vay học sinh, sinh viên có điều kiện khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn thẩm tra liên ngành thẩm tra công tác cho vay mượn học sinh, sinh viên có hoàn cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
"Quyết định về việc thành lập 02 đoàn kiểm tra liên ngành kiểm tra công tác biếu vay mượn học sinh, sinh viên có hoàn cảnh khó khăn","Kuyê̆t đĭnh lơm drong pơ jing 'bal đoan kiêm tra liên nganh kiêm tra drong ăn xre hok sinh, sinh viên ơ̆i jăl arih hrap tơ nat"
Căn cứ Luật tổ chức HĐND và UBND ngày 26/11/2003,Kăn kư̆ luâ̆t tô chưk HĐND xưm UBND năr 26/11/2003
"Căn cứ Công văn số 2054/UBND-VX ngày 11/6/2012 của UBND tỉnh về việc kiểm tra thực hiện chế độ chính sách tín dụng đối với học sinh, sinh viên","Kăn kư̆ kông văn sô̆ 2054/UBND-VX năr 11/6/2012 dĭ UBND tinh lơm drong kiêm tra pơm chê̆ đô̆ chĭnh sach tin yŭng adrĭng hok sinh, sinh viên"
"Căn cứ Công văn số 2054/UBND-VX ngày 11/6/2012 của UBND tỉnh về việc thẩm tra thực hiện chế độ chính sách tín dụng đối với học sinh, sinh viên","Kăn kư̆ kông văn sô̆ 2054/UBND-VX năr 11/6/2012 dĭ UBND tinh lơm drong kiêm tra pơm chê̆ đô̆ chĭnh sach tin yŭng adrĭng hok sinh, sinh viên"
Theo đề nghị của Giám đốc Chi nhánh Ngân hàng Chính sách xã hội tỉnh tại Tờ trình số 133/TTr-SLĐTBXH ngày 04/3/2014,Tĭa đê nghĭ dĭ Yam đôk Chi nhanh Ngân hang chĭnh sach sa hô̆i tinh tơ Tơ trinh sô̆ 133/TTr-SLĐTBXH năr 04/3/2014
Đoàn 1,Tơ pul minh
"Trưởng đoàn: Bà Nguyễn Thị Thảo Vi, Trưởng phòng Kế hoạch - Nghiệp vụ Chi nhánh Ngân hàng Chính sách xã Hội tỉnh.","Kơ dră tơm tơ pul. Yă Nguyên Thĭ Thao Vi, Trương phong kê̆ hoach - Nghiê̆p vŭ Chi nhanh Ngân hang Chĭnh sach sa hô̆i tinh"
"Trưởng đoàn: Bà Nguyễn Thị Thảo Vi, Trưởng phòng Kế hoạch - Nghiệp vụ Chi nhánh Nhà băng Chính sách xã Hội tỉnh.","Kơ dră tơm tơ pul. Yă Nguyên Thĭ Thao Vi, Trương phong kê̆ hoach - Nghiê̆p vŭ Chi nhanh Ngân hang Chĭnh sach sa hô̆i tinh"
"Đoàn trưởng: Bà Nguyễn Thị Thảo Vi, Trưởng phòng Kế hoạch - Nghiệp vụ Chi nhánh Nhà băng Chính sách xã Hội tỉnh.","Kơ dră tơm tơ pul. Yă Nguyên Thĭ Thao Vi, Trương phong kê̆ hoach - Nghiê̆p vŭ Chi nhanh Ngân hang Chĭnh sach sa hô̆i tinh"
"Đoàn trưởng: Bà Nguyễn Thị Thảo Vi, Trưởng phòng Kế hoạch - Nghiệp vụ Chi nhánh Ngân hàng Chính sách xã Hội tỉnh.","Kơ dră tơm tơ pul. Yă Nguyên Thĭ Thao Vi, Trương phong kê̆ hoach - Nghiê̆p vŭ Chi nhanh Ngân hang Chĭnh sach sa hô̆i tinh"
Các thành viên,khul thanh viên
"Ông Lê Hoàng Tiên, Chuyên viên Sở Lao động - Thương binh và xã hội - Phó Trưởng đoàn.","Bok Lê Hoang Tiên, Chuyên viên Sơ Lao Đô̆ng - Thương 'binh xưm sa hô̆i - Phŏ trương tơ pul"
"Bà Lê Thị Quyên, nhân viên Phòng Ngân sách Sở Tài chính.","Yă Lê Thĭ Kuyên, nhân viên Phong Ngân sach Sơ Tai chĭnh"
"Bà Lê Thị Quyên, nhân viên Gian Ngân sách Sở Tài chính.","Yă Lê Thĭ Kuyên, nhân viên Phong Ngân sach Sơ Tai chĭnh"
"Bà Lê Thị Quyên, viên chức Gian Ngân sách Sở Tài chính.","Yă Lê Thĭ Kuyên, nhân viên Phong Ngân sach Sơ Tai chĭnh"
"Bà Lê Thị Quyên, viên chức Buồng Ngân sách Sở Tài chính.","Yă Lê Thĭ Kuyên, nhân viên Phong Ngân sach Sơ Tai chĭnh"
