ID,Tiếng Việt,Tiếng BaNa
0001,Chỉ thị về việc thực hiện chương trình đưa võ cổ truyền Bình Định vào trường học năm học 2015 - 2016 và giai đoạn 2016 - 2020 trên địa bàn tỉnh,Chi thĭ lơm drong thưk hiê̆n chương trinh chĕp bjo kô truyên 'Binh Đĭnh mưt tơ trương hok xơ năm hok 2015 - 2016 xưm yai đoăn 2016 - 2020 tơ apung teh  tinh
0002,Thực hiện Chương trình hành động số 16-CTr/TU ngày 18/7/2013 của Tỉnh ủy Bình Định ,Thưk hiê̆n chương trinh hanh đô̆ng sô̆ 16-CTr/TU năr 18/7/2013 dĭ Tinh uy 'Binh Đĭnh
0003,Về việc thực hiện Nghị quyết số 08/TW của Bộ Chính trị về tăng cường sự lãnh đạo của Đảng,Lơm drong thưk hiê̆n nghĭ kuyê̆t sô̆ 08/TW dĭ 'Bô̆ chĭnh trĭ lơm tăng kương drong lanh đăo dĭ đang
0004,"Tạo bước phát triển mạnh mẽ về thể dục, thể thao đến năm 2020 và các văn bản chỉ đạo có liên quan của UBND tỉnh","Pơm yak tơ kong tơ 'yung deh lơm thê yuk, thê thao truh xơ năm 2020 xưm rim văn 'ban chi đăoơ̆i liên koan dĭ UBND tinh"
0005,"Thời gian qua Sở Giáo dục và Đào tạo phối hợp với Sở Văn hóa, Thể thao và Du lịch và các cơ quan liên quan đã triển khai chương trình","Lơmjơ nang yâu Sơ yao yuk xưm Đao tăo phô̆i hơp adring Sơ Văn hŏa, thê thao xưm yu lich xưm rim kơ koan lien koan dĭ UBND tinh"
0006,Đưa võ cổ truyền Bình Định vào các trường học trên địa bàn tỉnh và đạt được một số kết quả nhất định,Chĕp bjo kô truyên 'Binh Đĭnh mưt rim trương hok tơ apung teh tinh xưm đat đĕi minh kơ sô̆ drong đĕi lưng bơ gloh
0007,"Tuy nhiên công tác triển khai thực hiện còn một số tồn tại, hạn chế nên chưa đạt được mục tiêu, yêu cầu đề ra","Mă lĕi drong kông tak triên khai pơm ahrĕi ară ơ̆i minh kơ sô̆ drong đim đĕi kơ na đim đat đĕi muk tiêu, yêu kâu đê lech"
0008,Để tổ chức thực hiện có hiệu quả chương trình đưa võ cổ truyền Bình Định vào trường học trên địa bàn tỉnh trong thời gian đến,Xư̆ tô chưk pơm ơ̆i hiê̆u koa chương trinh chĕp bjo kô truyên 'Binh Đĭnh mưt trương hok tơ apung teh tinh lơm jơ nang truh 'nâu kơnh
0009,"Chủ tịch UBND tỉnh yêu cầu Thủ trưởng các sở, ngành liên quan và Chủ tịch UBND các huyện, thị xã, thành phố tổ chức thực hiện tốt một số nội dung chủ yếu sau đây:","Chu tich UBND tinh hmăng kơ dră tơm rim Sơ, nganh liên koan xưm Chu tich UBND rim tơ ring, thĭ xa, thanh phô̆ tô chưk pơm 'lưng minh kơ sô̆ nô̆i yung đưng rŏng 'nâu"
0010, Sở Giáo dục và Đào tạo,Sơ Yăo yuk xưm Đao tăo
0011,"Hướng dẫn Phòng Giáo dục và Đào tạo các huyện, thị xã, thành phố, các trường trung học phổ thông trên địa bàn tỉnh","Pơ chi Sơ Yăo yuk xưm Đao tăo rim tơ ring, thĭ xa, thanh phô̆ rim trương trung hok phô thông tơ apung teh tinh"
0012,"Từ năm học 2015 - 2016, tổ chức dạy võ cổ truyền Bình Định trong thời gian ngoại khóa.","Đưng xơ năm hok 2015 - 2016, tô chưk pơ tâp bjo kô truyên 'Binh Đĭnh lơm jơ nang ngoăi khŏa."
0013,"Nội dung giảng dạy theo chương trình tập huấn hàng năm và hướng dẫn cụ thể của liên Sở Giáo dục và Đào tạo và Sở Văn hóa, Thể thao và Du lịch.","Nô̆i yung pơ tâp tĭa chương trinh tâ̆p huâ̆n rim xơ năm xưm pơ chi kŭ thê dĭ liên Sơ Yăo yuk xưm Đao tăo xưm Sơ Văn hŏa, Thê thao xưm Yu lich."
